Episode,Score,Steps,Epsilon,GhostsEaten
1,30,21,0.9996,0
2,160,96,0.9992001600000001,0
3,100,110,0.9988004799360002,0
4,70,23,0.9984009597440259,0
5,80,51,0.9980015993601283,0
6,60,31,0.9976023987203844,0
7,160,112,0.9972033577608963,0
8,50,38,0.996804476417792,0
9,70,24,0.9964057546272249,0
10,20,6,0.996007192325374,0
11,110,108,0.9956087894484439,0
12,160,60,0.9952105459326646,0
13,50,60,0.9948124617142915,0
14,100,66,0.9944145367296058,0
15,230,167,0.994016770914914,0
16,70,40,0.9936191642065481,0
17,80,46,0.9932217165408654,0
18,350,328,0.9928244278542492,0
19,60,22,0.9924272980831075,0
20,40,26,0.9920303271638743,0
21,70,23,0.9916335150330088,0
22,60,49,0.9912368616269956,0
23,60,40,0.9908403668823449,0
24,60,35,0.990444030735592,0
25,90,34,0.9900478531232978,0
26,50,12,0.9896518339820485,0
27,60,23,0.9892559732484557,0
28,70,23,0.9888602708591564,0
29,190,60,0.9884647267508128,0
30,50,16,0.9880693408601124,0
31,270,171,0.9876741131237684,0
32,50,11,0.9872790434785189,0
33,120,127,0.9868841318611276,0
34,40,10,0.9864893782083831,0
35,50,20,0.9860947824570998,0
36,40,8,0.985700344544117,0
37,60,45,0.9853060644062994,0
38,170,199,0.984911941980537,0
39,370,252,0.9845179772037448,0
40,310,176,0.9841241700128633,0
41,110,104,0.9837305203448582,0
42,60,19,0.9833370281367203,0
43,50,28,0.9829436933254656,0
44,300,305,0.9825505158481355,0
45,110,51,0.9821574956417962,0
46,250,176,0.9817646326435395,0
47,240,184,0.9813719267904821,0
48,30,6,0.980979378019766,0
49,60,45,0.9805869862685581,0
50,70,28,0.9801947514740508,0
51,320,205,0.9798026735734612,0
52,170,98,0.9794107525040319,0
53,70,28,0.9790189882030303,0
54,70,52,0.9786273806077492,0
55,70,22,0.9782359296555062,0
56,60,32,0.9778446352836441,0
57,120,107,0.9774534974295307,0
58,100,21,0.9770625160305589,0
59,120,102,0.9766716910241467,0
60,150,122,0.9762810223477372,0
61,50,17,0.9758905099387981,0
62,130,45,0.9755001537348227,0
63,70,44,0.9751099536733288,0
64,60,34,0.9747199096918595,0
65,220,154,0.9743300217279828,0
66,30,16,0.9739402897192916,0
67,120,34,0.973550713603404,0
68,40,12,0.9731612933179626,0
69,60,17,0.9727720288006355,0
70,60,33,0.9723829199891153,0
71,50,61,0.9719939668211197,0
72,150,89,0.9716051692343913,0
73,260,132,0.9712165271666976,0
74,40,11,0.9708280405558309,0
75,100,40,0.9704397093396087,0
76,40,17,0.9700515334558728,0
77,50,20,0.9696635128424905,0
78,70,39,0.9692756474373536,0
79,40,12,0.9688879371783787,0
80,70,58,0.9685003820035074,0
81,30,7,0.968112981850706,0
82,60,27,0.9677257366579658,0
83,270,147,0.9673386463633027,0
84,20,20,0.9669517109047574,0
85,20,7,0.9665649302203956,0
86,60,23,0.9661783042483074,0
87,60,60,0.9657918329266081,0
88,40,36,0.9654055161934375,0
89,50,17,0.9650193539869601,0
90,140,86,0.9646333462453655,0
91,60,64,0.9642474929068674,0
92,50,33,0.9638617939097047,0
93,100,71,0.9634762491921409,0
94,30,22,0.9630908586924641,0
95,430,398,0.9627056223489872,0
96,80,24,0.9623205401000476,0
97,50,32,0.9619356118840077,0
98,30,20,0.9615508376392541,0
99,40,16,0.9611662173041984,0
100,90,78,0.9607817508172768,0
101,90,32,0.9603974381169499,0
102,130,111,0.9600132791417032,0
103,100,43,0.9596292738300466,0
104,100,53,0.9592454221205147,0
105,60,24,0.9588617239516665,0
106,20,11,0.9584781792620859,0
107,290,227,0.9580947879903811,0
108,50,24,0.9577115500751849,0
109,60,15,0.9573284654551549,0
110,110,86,0.9569455340689729,0
111,290,269,0.9565627558553453,0
112,40,19,0.9561801307530032,0
113,80,36,0.9557976587007021,0
114,90,52,0.9554153396372219,0
115,70,62,0.9550331735013671,0
116,50,30,0.9546511602319666,0
117,100,70,0.9542692997678739,0
118,50,36,0.9538875920479668,0
119,110,41,0.9535060370111477,0
120,50,18,0.9531246345963432,0
121,80,113,0.9527433847425048,0
122,120,93,0.9523622873886078,0
123,60,64,0.9519813424736524,0
124,40,12,0.951600549936663,0
125,50,20,0.9512199097166883,0
126,50,38,0.9508394217528017,0
127,50,25,0.9504590859841006,0
128,110,72,0.9500789023497069,0
129,160,127,0.9496988707887671,0
